fn1y,un1y,fn2y,un2y,un1c,fn1c,un2c,fn2c
0.012312429,2.23E+01,0.006787327,3.19E+01,26.72463293,0.468456056,36.32187679,0.259134628
0.248720039,4.16E+01,0.180791624,6.01E+01,34.84537774,0.54688535,44.44262161,0.335444212
0.632662891,6.08E+01,0.468157083,8.81E+01,42.96612255,0.694470205,52.56336642,0.410164013
1.117161379,7.98E+01,0.831595547,1.16E+02,51.23451727,0.888370737,60.43802805,0.497425435
1.679980085,9.85E+01,1.253438383,1.43E+02,58.83848741,1.078985718,68.80485604,0.57868101
2.305121958,1.17E+02,1.720670636,1.70E+02,67.32835698,1.315651414,76.92560085,0.688376037
2.97887883,1.35E+02,2.221868332,1.95E+02,75.4491018,1.569513261,85.04634566,0.799660846
3.688404752,1.52E+02,2.746129536,2.20E+02,83.56984661,1.83143001,93.16709048,0.912535439
4.421115612,1.69E+02,3.282658361,2.43E+02,91.69059142,2.106727432,101.6979739,1.057029049
5.164448153,1.84E+02,3.820636253,2.65E+02,100.0881798,2.403453804,109.4085801,1.15736202
5.90580662,1.99E+02,4.349245597,2.86E+02,107.932081,2.669245648,117.5293249,1.287724226
6.632620417,2.13E+02,4.857784015,3.04E+02,116.0528259,2.953816804,125.6500697,1.424445563
7.332472547,2.26E+02,5.335835389,3.21E+02,124.4196538,3.27989896,133.8528423,1.581657437
7.993274262,2.37E+02,5.773475196,3.35E+02,132.2943155,3.591584749,141.8915593,1.697888238
8.603468481,2.47E+02,6.161493009,3.47E+02,138.9385612,3.872257151,150.0123042,1.850507406
9.15224814,2.56E+02,6.491617667,3.56E+02,147.7975556,4.257173896,158.133049,2.006306139
9.629777499,2.63E+02,6.756732278,3.63E+02,155.7706505,4.58175459,166.8279879,2.184008549
10.02740574,2.68E+02,6.951067642,3.67E+02,164.0390452,4.992978458,174.3745386,2.324792666
10.3378632,2.72E+02,7.070364175,3.68E+02,172.15979,5.316234334,182.4952834,2.486420604
10.55543175,2.74E+02,7.11199419,3.67E+02,180.0344516,5.702904887,190.3391846,2.664675022
10.67608201,2.74E+02,7.075038419,3.63E+02,188.0321549,6.082774701,198.736773,2.823454598
10.69757167,2.73E+02,6.960312974,3.57E+02,195.3736363,6.464587584,206.8575178,2.996740945
10.61950075,2.70E+02,6.770345405,3.47E+02,203.535395,6.854269892,214.9782627,3.179565989
10.44332151,2.65E+02,6.509301052,3.36E+02,210.9178902,7.249587098,224.5755065,3.386237779
10.17230254,2.59E+02,6.182863337,3.22E+02,218.3003855,7.617604197,232.6962513,3.570652606
9.81144864,2.51E+02,5.798073997,3.05E+02,226.3288492,8.045759254,240.2428021,3.759836782
9.367379715,2.42E+02,5.363141275,2.87E+02,233.0653761,8.396240163,248.937741,3.958559657
8.848173914,2.31E+02,4.887225894,2.67E+02,239.9967189,8.789468571,257.0584858,4.144564267
8.263181554,2.19E+02,4.380216151,2.45E+02,246.3538676,9.137277762,265.0972029,4.362187895
7.622817889,2.05E+02,3.85250487,2.21E+02,252.9242884,9.509763917,273.2999754,4.547309292
6.938343881,1.91E+02,3.314782594,1.97E+02,259.7654007,9.874672107,281.0515954,4.754881959
6.22164519,1.76E+02,2.777863968,1.71E+02,267.0248544,10.37452638,290.2797145,4.99032882
5.485020757,1.59E+02,2.252569264,1.45E+02,,,298.4004594,5.201769958
4.740993874,1.42E+02,1.749694052,1.17E+02,,,308.7359528,5.467263719
4.002161352,1.25E+02,1.280126156,8.98E+01,,,315.7493233,5.655056835
3.281101613,1.06E+02,0.855238019,6.17E+01,,,324.9774424,5.894385416
2.590373643,8.79E+01,0.487896611,3.35E+01,,,332.8872588,6.110671608
1.942663744,6.90E+01,0.195316753,5.26E+00,,,340.1642898,6.335512345
1.351198844,4.99E+01,,,,,348.970552,6.577091227
0.830721507,3.07E+01,,,,,359.0599623,6.884290294
0.399954599,1.13E+01,,,,,363.3664178,7.047508015
