fn,un,tr,t,fny,uny,ty,unc,fnc,tc,fntc
12.31242928,2.23E-05,0.003500151,0,0.012312429,2.23E+01,0.00E+00,26.72463293,0.468456056,2.198291389,0.70507563
248.7200388,4.16E-05,0.003501117,9.66E-07,0.248720039,4.16E+01,9.66E-01,34.84537774,0.54688535,3.09215759,1.144393758
632.6628905,6.08E-05,0.003502083,1.93E-06,0.632662891,6.08E+01,1.93E+00,42.96612255,0.694470205,3.892384036,1.468162122
1117.161379,7.98E-05,0.003503049,2.90E-06,1.117161379,7.98E+01,2.90E+00,51.23451727,0.888370737,4.378050857,1.902713085
1679.980085,9.85E-05,0.003504015,3.86E-06,1.679980085,9.85E+01,3.86E+00,58.83848741,1.078985718,5.104552704,2.290752873
2305.121958,0.000116894,0.003504981,4.83E-06,2.305121958,1.17E+02,4.83E+00,67.32835698,1.315651414,5.552738186,2.675726291
2978.87883,0.000134788,0.003505947,5.80E-06,2.97887883,1.35E+02,5.80E+00,75.4491018,1.569513261,6.251566159,3.084283999
3688.404752,0.000152094,0.003506913,6.76E-06,3.688404752,1.52E+02,6.76E+00,83.56984661,1.83143001,6.671878829,3.463515692
4421.115612,0.000168697,0.003507879,7.73E-06,4.421115612,1.69E+02,7.73E+00,91.69059142,2.106727432,7.398773743,3.903440233
5164.448153,0.000184478,0.003508845,8.69E-06,5.164448153,1.84E+02,8.69E+00,100.0881798,2.403453804,7.791388971,4.300078889
5905.80662,0.000199318,0.003509811,9.66E-06,5.90580662,1.99E+02,9.66E+00,107.932081,2.669245648,8.799118816,5.075520494
6632.620417,0.000213104,0.003510778,1.06E-05,6.632620417,2.13E+02,1.06E+01,116.0528259,2.953816804,9.806624156,5.821327388
7332.472547,0.000225722,0.003511744,1.16E-05,7.332472547,2.26E+02,1.16E+01,124.4196538,3.27989896,10.75830686,6.54548448
7993.274262,0.000237068,0.00351271,1.26E-05,7.993274262,2.37E+02,1.26E+01,132.2943155,3.591584749,11.82172942,7.32542617
8603.468481,0.000247045,0.003513676,1.35E-05,8.603468481,2.47E+02,1.35E+01,138.9385612,3.872257151,12.66038377,7.823719202
9152.24814,0.000255565,0.003514642,1.45E-05,9.15224814,2.56E+02,1.45E+01,147.7975556,4.257173896,13.35399947,8.278950437
9629.777499,0.000262553,0.003515608,1.55E-05,9.629777499,2.63E+02,1.55E+01,155.7706505,4.58175459,13.72360445,8.577012519
