fn1y,un1_ry,un1y,,fn2y,un2_ry,un2y,,un1c,fn1c,un2c,fn2c
0.032074833,3.75E+00,6.75E+00,,0.017402988,2.99E+00,4.99E+00,,1.12462162,0.057738831,1.12462162,0.057738831
0.263745995,6.58E+00,9.58E+00,,0.111106258,5.11E+00,7.11E+00,,2.288235596,0.124799742,2.288235596,0.124799742
0.61230645,9.40E+00,1.24E+01,,0.248216881,7.23E+00,9.23E+00,,3.784310708,0.231817449,5.003334873,0.232503629
1.044781736,1.22E+01,1.52E+01,,0.41742721,9.34E+00,1.13E+01,,10.5443538,1.165127975,10.32271305,0.656299026
1.544303569,1.50E+01,1.80E+01,,0.613046473,1.14E+01,1.34E+01,,11.60506314,1.330942269,11.32009645,0.754475566
2.098796895,1.77E+01,2.07E+01,,0.831258994,1.35E+01,1.55E+01,,12.53912062,1.486049137,12.98240213,0.922325779
2.698136601,2.04E+01,2.34E+01,,1.069115937,1.56E+01,1.76E+01,,14.2014263,1.778467433,14.2014263,1.052172171
3.333045435,2.30E+01,2.60E+01,,1.324125661,1.77E+01,1.97E+01,,15.47586065,1.997715177,15.42045046,1.188352532
3.994589413,2.55E+01,2.85E+01,,1.594052126,1.97E+01,2.17E+01,,16.49699129,2.20020429,16.36242368,1.303155744
4.673936658,2.80E+01,3.10E+01,,1.876804102,2.17E+01,2.37E+01,,17.8030886,2.454948659,17.85849879,1.478131674
5.362253229,3.03E+01,3.33E+01,,2.170370193,2.37E+01,2.57E+01,,19.52080447,2.81407158,19.07752296,1.625396484
6.050679322,3.25E+01,3.55E+01,,2.47277955,2.56E+01,2.76E+01,,20.4073675,3.011902586,20.29654712,1.771077801
6.730356933,3.46E+01,3.76E+01,,2.782078219,2.75E+01,2.95E+01,,22.5129547,3.468581846,21.29393053,1.909067869
7.392492351,3.66E+01,3.96E+01,,3.096315645,2.93E+01,3.13E+01,,23.73197886,3.755721833,22.84541583,2.116279183
8.028442785,3.84E+01,4.14E+01,,3.413538144,3.11E+01,3.31E+01,,24.45231132,3.939143057,24.06444,2.282545904
8.6298194,4.00E+01,4.30E+01,,3.731787404,3.29E+01,3.49E+01,,26.25868349,4.393183162,25.11723359,2.435352938
9.188600617,4.15E+01,4.45E+01,,4.049102703,3.45E+01,3.65E+01,,27.49987174,4.703178226,26.94576984,2.69742096
9.697250451,4.28E+01,4.58E+01,,4.363525983,3.62E+01,3.82E+01,,28.88512647,5.021988065,28.16479401,2.885856577
10.14883718,4.39E+01,4.69E+01,,4.673109139,3.77E+01,3.97E+01,,30.13493407,5.350357508,29.16217742,3.036288372
10.53714808,4.48E+01,4.78E+01,,4.975923019,3.92E+01,4.12E+01,,31.14309168,5.622197731,30.93530347,3.329234499
10.85679629,4.54E+01,4.84E+01,,5.27006776,4.06E+01,4.26E+01,,33.04089067,6.163686214,32.26514802,3.531921549
11.10331628,4.59E+01,4.89E+01,,5.553684111,4.19E+01,4.39E+01,,34.25991483,6.499386641,33.26253142,3.700676615
11.27324482,4.61E+01,4.91E+01,,5.82496546,4.31E+01,4.51E+01,,35.70057975,6.928060703,34.81401673,3.959464545
11.36418487,4.62E+01,4.92E+01,,6.082170296,4.42E+01,4.62E+01,,37.18557283,7.324702973,36.03304089,4.170069058
11.37485035,4.60E+01,4.90E+01,,6.323634855,4.53E+01,4.73E+01,,38.91437074,7.887581802,37.91698733,4.507352977
11.30509026,4.56E+01,4.86E+01,,6.547785736,4.62E+01,4.82E+01,,40.02257452,8.196010967,39.0806013,4.710198376
11.15589159,4.50E+01,4.80E+01,,6.753152252,4.71E+01,4.91E+01,,41.31547894,8.635342186,40.90913755,5.042573469
10.92936068,4.41E+01,4.71E+01,,6.938378325,4.78E+01,4.98E+01,,42.07275153,8.859846245,42.12816172,5.262678937
10.62868389,4.31E+01,4.61E+01,,7.10223373,4.84E+01,5.04E+01,,43.34718588,9.272082146,43.7904674,5.584127931
10.25806851,4.19E+01,4.49E+01,,7.243624508,4.90E+01,5.10E+01,,45.25329639,9.916563626,45.07598379,5.830202677
9.822666183,4.04E+01,4.34E+01,,7.361602386,4.94E+01,5.14E+01,,46.28392591,10.21848288,46.11769535,6.03225633
9.328480908,3.89E+01,4.19E+01,,7.455373069,4.97E+01,5.17E+01,,47.05966856,10.48943605,47.87850803,6.380624698
8.782264912,3.71E+01,4.01E+01,,7.524303256,4.99E+01,5.19E+01,,48.38951311,10.94425031,49.12831563,6.638997903
8.191405617,3.52E+01,3.82E+01,,7.567926292,5.00E+01,5.20E+01,,49.44230671,11.24036342,50.8164794,6.979818289
7.563807619,3.31E+01,3.61E+01,,7.585946362,4.99E+01,5.19E+01,,,,51.87214612,7.205741627
6.907773817,3.09E+01,3.39E+01,,7.578241157,4.98E+01,5.18E+01,,,,,
6.2318903,2.86E+01,3.16E+01,,7.544862984,4.95E+01,5.15E+01,,,,,
5.544920038,2.62E+01,2.92E+01,,7.486038288,4.91E+01,5.11E+01,,,,,
4.855711242,2.37E+01,2.67E+01,,7.402165611,4.87E+01,5.07E+01,,,,,
4.173127596,2.11E+01,2.41E+01,,7.293812001,4.81E+01,5.01E+01,,,,,
3.506010066,1.84E+01,2.14E+01,,7.16170794,4.74E+01,4.94E+01,,,,,
2.863184933,1.57E+01,1.87E+01,,7.006740858,4.66E+01,4.86E+01,,,,,
2.253542727,1.29E+01,1.59E+01,,6.829947343,4.57E+01,4.77E+01,,,,,
1.686234899,1.01E+01,1.31E+01,,6.632504156,4.47E+01,4.67E+01,,,,,
