fn,un,tr,t,fny,uny,try,ty,unc,fnc,tc,fntc
320.7483271,3.75E-05,0.103972476,0,0.032074833,3.75E+00,0,25,1.12462162,0.057738831,4.229929663,0.100040462
2637.459948,6.58E-05,0.103987203,1.47E-05,0.263745995,6.58E+00,14.72697962,39.72697962,2.288235596,0.124799742,21.44347043,0.18505258
6123.064502,9.40E-05,0.10400193,2.95E-05,0.61230645,9.40E+00,29.45395923,54.45395923,3.784310708,0.231817449,63.46984086,1.189277289
10447.81736,0.000121952,0.104016657,4.42E-05,1.044781736,1.22E+01,44.18093884,69.18093884,10.5443538,1.165127975,72.3356779,1.783110919
15443.03569,0.000149628,0.104031384,5.89E-05,1.544303569,1.50E+01,58.90791846,83.90791846,11.60506314,1.330942269,84.31031496,2.190659473
20987.96895,0.000176906,0.104046111,7.36E-05,2.098796895,1.77E+01,73.63489807,98.63489807,12.53912062,1.486049137,94.03970756,2.611698571
26981.36601,0.00020367,0.104060838,8.84E-05,2.698136601,2.04E+01,88.36187769,113.3618777,14.2014263,1.778467433,104.4105986,3.008820051
33330.45435,0.000229799,0.104075565,0.000103089,3.333045435,2.30E+01,103.0888573,128.0888573,15.47586065,1.997715177,112.0016631,3.324819025
39945.89413,0.000255165,0.104090292,0.000117816,3.994589413,2.55E+01,117.8158369,142.8158369,16.49699129,2.20020429,120.2342261,3.708632557
46739.36658,0.000279639,0.104105019,0.000132543,4.673936658,2.80E+01,132.5428165,157.5428165,17.8030886,2.454948659,130.3794047,4.031418976
53622.53229,0.000303088,0.104119746,0.00014727,5.362253229,3.03E+01,147.2697961,172.2697961,19.52080447,2.81407158,138.9445965,4.527706537
60506.79322,0.000325381,0.104134473,0.000161997,6.050679322,3.25E+01,161.9967758,186.9967758,20.4073675,3.011902586,150.1708188,4.93828348
67303.56933,0.000346386,0.1041492,0.000176724,6.730356933,3.46E+01,176.7237554,201.7237554,22.5129547,3.468581846,157.6549669,5.353221286
73924.92351,0.000365977,0.104163927,0.000191451,7.392492351,3.66E+01,191.450735,216.450735,23.73197886,3.755721833,167.9189415,5.756118138
