theta_in_y,tan_out1,angVel_y1,tan_out2,angVel_y2,theta_in_c1,angVel_c1,theta_in_1,theta_out_c1,theta_in_c2,angVel_c2,theta_in_2,theta_out_c2,theta_in_a1,angVel_a,theta_in_a2,theta_out_a
5,0.058801,-29.352555,0.042749,-46.928058,4.998360496,-23.36119328,5.758680748,4.294343895,5.054871072,-37.97477677,6.256702159,1.993854858,5.732997991,-707.3173251,5.763464017,-28.60132117
10,-0.002913,-190.741467,-0.018657,-207.55249,6.156827315,-63.84270486,7.632632552,1.342402573,6.156827315,-72.33091034,7.965472387,0.544042184,7.597847017,-704.1289827,7.600656135,-27.13792639
15,-0.086238,-372.5340468,-0.101372,-388.156892,6.834954233,-89.23549477,11.29983661,-2.125950527,6.834954233,-97.72370025,9.798437242,-1.757646054,9.462696043,-701.0456273,9.437883451,-25.64318287
20,-0.138314,-515.5934788,-0.151415,-528.588758,7.513081152,-115.7831426,13.13387861,-3.468267845,7.513081152,-123.4052046,11.63307535,-2.569025213,11.32754507,-696.59744,11.27519876,-24.07006751
25,-0.143507,-605.1357348,-0.150083,-611.17646,8.191208071,-142.0420759,16.80249055,-5.682671403,8.275973935,-153.3925685,13.46702055,-3.997551562,13.19239409,-691.5193301,13.11260206,-22.41858029
30,-0.054303,-600.8645515,-0.053388,-599.607806,8.869334989,-167.7235803,18.6369549,-6.648803859,9.038866719,-180.7122106,15.30073457,-5.631984388,15.05724312,-686.126259,14.95011095,-20.67304687
35,0.0707169,-568.6514464,0.071512,-567.573412,9.716993637,-198.9641292,22.30752027,-7.123352428,10.0560571,-224.5274513,18.9701863,-7.098409532,16.92209215,-679.3683558,16.78769023,-18.86481596
40,0.212357,-531.8599611,0.213678,-530.446184,12.51426718,-294.2203053,24.14282935,-7.337115159,11.15801334,-259.0702181,20.78640838,-7.798570467,18.78694117,-672.4004785,18.62537511,-16.96253884
50,0.572207,-446.2967361,0.572545,-445.826119,13.36192582,-322.8431764,25.9790254,-6.760889678,12.17520372,-289.376944,22.64067688,-7.639574171,20.6517902,-664.5927045,20.46307758,-15.04458735
60,1.122952,-347.4582145,1.123971,-346.756495,14.12481861,-347.7722627,27.81650965,-5.037300367,13.02286237,-317.7303482,24.47606515,-7.78280224,22.51663923,-655.5250856,22.30093844,-12.98556654
70,2.158726,-237.7779284,2.159155,-237.551686,15.21547274,-376.0762591,29.69533095,-3.652148376,13.87052101,-345.6987999,26.31306662,-6.489213125,24.38148825,-646.4574667,24.1388873,-10.84817388
80,5.141464,-120.7794693,5.141646,-120.712695,16.49826282,-415.8595854,31.49174839,-1.349433096,15.05724312,-390.6994046,28.15051098,-4.801152384,26.24633728,-636.2349898,25.97685375,-8.695106846
85,11.016208,-60.66967027,11.016585,-60.619784,17.5154532,-443.5550493,33.33035621,1.374877614,16.49826282,-422.095818,31.8262679,-0.651762018,28.1111863,-624.7001745,27.81503138,-6.353947386
,,,,,19.63459982,-497.0194534,35.1686158,3.789034851,17.43068734,-446.6364308,33.66468722,1.90465878,30.07775437,-613.7511743,28.98478398,-4.861268753
,,,,,20.42574789,-517.9829408,37.00773218,6.966309953,18.36311185,-470.9909831,35.50278771,4.177112256,32.02925294,-603.8644119,31.86733393,-1.231584626
,,,,,21.75374644,-539.6089458,38.8461562,9.526910583,19.2107705,-494.7460365,37.34215588,7.578642798,33.43024432,-591.7200008,33.5526366,1.187473478
,,,,,24.14838212,-579.6905246,40.61526061,12.27346036,20.0910314,-520.1900447,39.41720597,10.34374154,36.24870933,-572.0551284,36.36636773,5.449142073
