Vt,VtuVn_b,rwuVn1,VtuVn_a1,rwuVn2,VtuVn_a2,,VtuVn_c1,VstuVcn_c1,VtuVn_1,rwuVn_c1,,VtuVn_c2,VstuVcn_c2,VtuVn_2,rwuVn_c2,,VtuVn_a1,VstuVcn_a
0.1,0.066667,-0.003116,0.062229,-0.011393,0.050248,,0.002994957,0.000471291,0.039916763,0.004653208,,0.04336854,-0.092787112,0.042255322,-0.090006173,,2.937197576,-4.020708221
0.2,0.133333,-0.009387,0.12004,-0.027226,0.094275,,0.200020374,-0.123242479,0.286510791,-0.254597601,,0.387863448,-0.34157689,0.391342116,-0.476663012,,3.47628992,-3.534850508
0.5,0.333333,-0.042568,0.273352,-0.092008,0.202117,,0.609152957,-0.316766161,0.728039411,-0.900765467,,0.883512454,-0.728129619,0.727822858,-0.944812362,,3.758671624,-3.24436415
1,0.666667,-0.150991,0.454449,-0.26013,0.297373,,0.883512454,-0.628530216,1.036154405,-1.250770683,,1.084602455,-0.908002962,1.064895533,-1.393207481,,4.390179799,-2.613070458
1.5,1,-0.339905,0.522704,-0.50335,0.286804,,1.145927775,-0.82193072,1.353800439,-1.68421354,,1.352926196,-1.130045734,1.375290651,-1.778467456,,4.641756227,-2.365407274
2,1.333333,-0.646857,0.425272,-0.82213,0.169402,,1.378963989,-1.002246485,1.658324473,-1.978266751,,1.653644374,-1.360780057,1.722190359,-2.243614325,,4.853970356,-2.174534601
2.5,1.666667,-1.095763,0.128468,-1.271071,-0.132717,,1.653644374,-1.242578959,2.027660069,-2.409509066,,1.987368207,-1.693159928,2.031502206,-2.687188204,,5.219355167,-1.827664755
3,2,-1.574464,-0.210174,-1.750932,-0.4787,,1.936026079,-1.481094822,2.267615238,-2.854017016,,2.403239444,-2.099505145,2.398574544,-3.155109432,,5.587021851,-1.439321342
5,3.333333,-3.297966,-1.295842,-3.455619,-1.556704,,2.218407783,-1.72226705,2.362526132,-3.011383795,,2.680486935,-2.299340907,2.629201046,-3.449340207,,5.80593898,-1.234899065
6,4,-3.988483,-1.597977,-4.106748,-1.809351,,2.500789487,-1.950543055,2.593575488,-3.281391146,,2.966535934,-2.561139529,2.774002377,-3.653500051,,6.308663984,-0.732385516
7,4.666667,-4.533137,-1.695176,-4.590028,-1.823713,,2.757500127,-2.199670097,2.738376819,-3.48555099,,3.304614679,-2.807822862,3.042455523,-4.086215381,,6.565374624,-0.480245071
8,5.333333,-4.891182,-1.530409,-4.834908,-1.501267,,3.014210768,-2.450453796,2.865077983,-3.664190854,,3.662405134,-2.884612364,3.335758791,-4.312153958,,6.899098457,-0.144843296
9,6,-4.959835,-0.959935,-4.835216,-0.835004,,3.296592472,-2.643640077,3.056549718,-3.908117579,,3.944073753,-2.928027824,3.564188201,-4.558994106,,7.185758672,0.132432645
10,6.666667,-4.959835,-0.293281,-4.835216,-0.16831,,3.922324657,-2.720053413,3.372203629,-4.313461568,,4.202978502,-2.72159417,3.825753022,-4.738860434,,7.437335099,0.397769225
12.5,8.333333,-4.959835,1.373352,-4.835216,1.498428,,4.195079713,-2.633828664,3.227144013,-4.161836744,,4.503132481,-2.406109639,4.020481133,-4.92063635,,7.712015484,0.664990967
15,10,-4.959835,3.039986,-4.835216,3.165165,,4.464625885,-2.401696646,3.68091616,-4.541927698,,4.785514185,-2.159538992,4.827127658,-4.949419711,,8.040605104,1.005734035
20,13.333333,-4.959835,6.373253,-4.835216,6.49864,,4.800916824,-2.169821695,3.935063954,-4.747579865,,5.06089469,-1.956198542,5.228015752,-4.964845476,,8.273926552,1.221899301
25,16.666667,-4.959835,9.70652,-4.835216,9.832114,,5.042224826,-2.031005206,4.434576526,-4.885853153,,5.478632914,-1.482165937,6.02988213,-4.977352262,,8.764529109,1.719610685
30,20,-4.959835,13.039787,-4.835216,13.165589,,5.45296185,-1.558000871,5.373764336,-4.976333971,,5.761014618,-1.178110084,6.430936165,-4.959025758,,9.008404217,1.956327076
,,,,,,,5.735343554,-1.226604046,5.77471678,-4.97867107,,6.325778027,-0.636413622,6.831948144,-4.949253264,,9.303621454,2.236744953
,,,,,,,6.025059848,-1.007080579,6.576615333,-4.984633522,,6.608159731,-0.362636656,7.23288944,-4.953857691,,9.53466103,2.49338408
,,,,,,,6.300106963,-0.712248556,7.378562021,-4.98080524,,6.890541435,-0.070864961,7.633823896,-4.959853433,,9.79137167,2.742596811
,,,,,,,6.582488667,-0.435900915,7.779503064,-4.985461197,,7.17292314,0.189201734,8.034786473,-4.960129325,,10.22777976,3.184895852
,,,,,,,6.864870371,-0.146699895,8.180465641,-4.985737089,,7.455304844,0.485043666,8.43574905,-4.960405216,,10.51016146,3.46895552
