w,VsVn,VstVcn1,VstVcn2,,VsVn_c1,VstVcn_c1,,VsVn_c2,VstVcn_c2
0.175,0.0875,0.056612,0.053822,,0.083870968,0.052427212,,0.06585552,0.053087602
0.5,0.25,0.140725,0.135545,,0.236470275,0.079984075,,0.226323087,0.071202041
0.75,0.375,0.189698,0.187272,,0.394828046,0.10552909,,0.385475347,0.10970851
1,0.5,0.208247,0.210661,,0.553185817,0.118735894,,0.544627606,0.076407255
1.25,0.625,0.185052,0.182875,,0.711543588,0.05409187,,0.703779866,-0.015203018
1.5,0.75,0.147756,0.146055,,0.86990136,-0.026312841,,0.862932126,-0.126914907
1.75,0.875,0.081576,0.042107,,1.028259131,-0.129936026,,1.022084386,-0.215915158
2,1,0.00276,0.013663,,1.186616902,-0.230756981,,1.181236645,-0.271752565
2.25,1.125,-0.088979,-0.09404,,1.350973074,-0.317320296,,1.340388905,-0.321965821
2.5,1.25,-0.159466,-0.175581,,1.488936284,-0.383220733,,1.499541165,-0.34132966
2.75,1.375,-0.222151,-0.261267,,1.661690216,-0.367384201,,1.658693424,-0.331897991
3,1.5,-0.291462,-0.296828,,1.820047987,-0.276941874,,1.817845684,-0.243943231
3.5,1.75,-0.435445,-0.441527,,1.978405758,-0.097020949,,1.976997944,-0.060203646
4,2,-0.556977,-0.579018,,2.13676353,0.073707476,,2.136150203,0.104097952
4.5,2.25,-0.631167,-0.660312,,2.295121301,0.377801268,,2.295302463,0.424059159
5,2.5,-0.643794,-0.683824,,2.453479072,0.692273688,,2.454454723,0.74326776
5.5,2.75,-0.519299,-0.637074,,2.611836844,1.01141649,,2.606372789,1.045659518
5.75,2.875,-0.302857,-0.442071,,2.770194615,1.325425579,,2.758290855,1.342175019
6,3,-0.086415,-0.225567,,2.928552386,1.645031712,,2.917443114,1.66975126
6.25,3.125,0.130026,-0.009063,,3.086910157,1.962617721,,3.076595374,1.985845631
6.5,3.25,0.346469,0.207439,,3.245267929,2.280203729,,3.235747634,2.303497117
7,3.5,0.779353,0.640447,,3.4036257,2.599346531,,3.394899893,2.624262833
7.5,3.75,1.212238,1.073455,,3.561983471,2.915375745,,3.554052153,2.941914319
8,4,1.645122,1.506462,,3.720341242,3.22761676,,3.713204413,3.259213601
9,4.5,2.510891,2.372477,,3.878699014,3.552104555,,3.872356673,3.580331521
10,5,3.37666,3.238493,,4.037056785,3.868133769,,4.031508932,3.897983007
12,6,5.108197,4.970523,,4.195414556,4.184162983,,4.190661192,4.212520263
15,7.5,7.705504,7.568569,,4.353772327,4.501748991,,4.349813452,4.530171749
22.86,11.43,14.510447,14.375448,,4.512130099,4.819334999,,4.508965711,4.847823235
,,,,,4.67048787,5.136921007,,4.668117971,5.168588951
,,,,,4.828845641,5.451393427,,4.827270231,5.480011976
,,,,,4.987203412,5.770536229,,4.979188297,5.816452651
,,,,,5.145561184,6.088122237,,5.188979912,6.20095628
,,,,,5.303918955,6.404151451,,5.348132171,6.521721996
,,,,,5.462276726,6.720180665,,5.507284431,6.840930597
,,,,,5.620634497,7.047997035,,5.666436691,7.152298012
,,,,,5.771794188,7.319190577,,5.82558895,7.471562224
,,,,,5.922953879,7.6433596,,5.98474121,7.790770825
,,,,,6.08131165,7.960945608,,6.14389347,8.111536541
,,,,,6.239669421,8.280088411,,6.303045729,8.426073797
,,,,,6.398027193,8.596117624,,6.462197989,8.743725283
,,,,,6.556384964,8.912146838,,6.621350249,9.062933884
,,,,,6.714742735,9.229732846,,6.780502509,9.379028254
,,,,,6.865902426,9.529260042,,6.935520943,9.711583557
,,,,,6.988269795,9.856342495,,7.098807028,10.00965988
